timestamp,source_ip,destination_ip,protocol,action,threat_level,description
2024-06-01 00:02:14,192.168.1.143,10.0.0.138,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:02:15,192.168.1.144,10.0.0.139,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:16,192.168.1.145,10.0.0.140,ICMP,BLOCK,High,ICMP tunneling attempt
2024-06-01 00:02:17,192.168.1.146,10.0.0.141,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:18,192.168.1.147,10.0.0.142,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:02:19,192.168.1.148,10.0.0.143,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:20,192.168.1.149,10.0.0.144,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:02:21,192.168.1.150,10.0.0.145,TCP,BLOCK,High,Brute force attack
2024-06-01 00:02:22,192.168.1.151,10.0.0.146,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:02:23,192.168.1.152,10.0.0.147,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:24,192.168.1.153,10.0.0.148,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:02:25,192.168.1.154,10.0.0.149,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:26,192.168.1.155,10.0.0.150,UDP,BLOCK,High,UDP flood detected
2024-06-01 00:02:27,192.168.1.156,10.0.0.151,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:28,192.168.1.157,10.0.0.152,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:02:29,192.168.1.158,10.0.0.153,TCP,BLOCK,Medium,Unauthorized access attempt
2024-06-01 00:02:30,192.168.1.159,10.0.0.154,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:02:31,192.168.1.160,10.0.0.155,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:32,192.168.1.161,10.0.0.156,ICMP,BLOCK,High,ICMP tunneling attempt
2024-06-01 00:02:33,192.168.1.162,10.0.0.157,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:34,192.168.1.163,10.0.0.158,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:02:35,192.168.1.164,10.0.0.159,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:36,192.168.1.165,10.0.0.160,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:02:37,192.168.1.166,10.0.0.161,TCP,BLOCK,High,Port scan detected
2024-06-01 00:02:38,192.168.1.167,10.0.0.162,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:02:39,192.168.1.168,10.0.0.163,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:40,192.168.1.169,10.0.0.164,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:02:41,192.168.1.170,10.0.0.165,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:42,192.168.1.171,10.0.0.166,UDP,BLOCK,High,UDP flood detected
2024-06-01 00:02:43,192.168.1.172,10.0.0.167,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:44,192.168.1.173,10.0.0.168,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:02:45,192.168.1.174,10.0.0.169,TCP,BLOCK,Medium,Unauthorized access attempt
2024-06-01 00:02:46,192.168.1.175,10.0.0.170,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:02:47,192.168.1.176,10.0.0.171,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:48,192.168.1.177,10.0.0.172,ICMP,BLOCK,High,ICMP tunneling attempt
2024-06-01 00:02:49,192.168.1.178,10.0.0.173,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:50,192.168.1.179,10.0.0.174,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:02:51,192.168.1.180,10.0.0.175,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:52,192.168.1.181,10.0.0.176,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:02:53,192.168.1.182,10.0.0.177,TCP,BLOCK,High,Brute force attack
2024-06-01 00:02:54,192.168.1.183,10.0.0.178,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:02:55,192.168.1.184,10.0.0.179,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:56,192.168.1.185,10.0.0.180,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:02:57,192.168.1.186,10.0.0.181,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:02:58,192.168.1.187,10.0.0.182,UDP,BLOCK,High,UDP flood detected
2024-06-01 00:02:59,192.168.1.188,10.0.0.183,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:00,192.168.1.189,10.0.0.184,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:03:01,192.168.1.190,10.0.0.185,TCP,BLOCK,Medium,Unauthorized access attempt
2024-06-01 00:03:02,192.168.1.191,10.0.0.186,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:03:03,192.168.1.192,10.0.0.187,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:04,192.168.1.193,10.0.0.188,ICMP,BLOCK,High,ICMP tunneling attempt
2024-06-01 00:03:05,192.168.1.194,10.0.0.189,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:06,192.168.1.195,10.0.0.190,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:03:07,192.168.1.196,10.0.0.191,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:08,192.168.1.197,10.0.0.192,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:03:09,192.168.1.198,10.0.0.193,TCP,BLOCK,High,Port scan detected
2024-06-01 00:03:10,192.168.1.199,10.0.0.194,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:03:11,192.168.1.200,10.0.0.195,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:12,192.168.1.201,10.0.0.196,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:03:13,192.168.1.202,10.0.0.197,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:14,192.168.1.203,10.0.0.198,UDP,BLOCK,High,UDP flood detected
2024-06-01 00:03:15,192.168.1.204,10.0.0.199,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:16,192.168.1.205,10.0.0.200,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:03:17,192.168.1.206,10.0.0.201,TCP,BLOCK,Medium,Unauthorized access attempt
2024-06-01 00:03:18,192.168.1.207,10.0.0.202,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:03:19,192.168.1.208,10.0.0.203,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:20,192.168.1.209,10.0.0.204,ICMP,BLOCK,High,ICMP tunneling attempt
2024-06-01 00:03:21,192.168.1.210,10.0.0.205,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:22,192.168.1.211,10.0.0.206,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:03:23,192.168.1.212,10.0.0.207,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:24,192.168.1.213,10.0.0.208,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:03:25,192.168.1.214,10.0.0.209,TCP,BLOCK,High,Brute force attack
2024-06-01 00:03:26,192.168.1.215,10.0.0.210,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:03:27,192.168.1.216,10.0.0.211,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:28,192.168.1.217,10.0.0.212,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:03:29,192.168.1.218,10.0.0.213,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:30,192.168.1.219,10.0.0.214,UDP,BLOCK,High,UDP flood detected
2024-06-01 00:03:31,192.168.1.220,10.0.0.215,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:32,192.168.1.221,10.0.0.216,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:03:33,192.168.1.222,10.0.0.217,TCP,BLOCK,Medium,Unauthorized access attempt
2024-06-01 00:03:34,192.168.1.223,10.0.0.218,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:03:35,192.168.1.224,10.0.0.219,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:36,192.168.1.225,10.0.0.220,ICMP,BLOCK,High,ICMP tunneling attempt
2024-06-01 00:03:37,192.168.1.226,10.0.0.221,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:38,192.168.1.227,10.0.0.222,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:03:39,192.168.1.228,10.0.0.223,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:40,192.168.1.229,10.0.0.224,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:03:41,192.168.1.230,10.0.0.225,TCP,BLOCK,High,Port scan detected
2024-06-01 00:03:42,192.168.1.231,10.0.0.226,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:03:43,192.168.1.232,10.0.0.227,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:44,192.168.1.233,10.0.0.228,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:03:45,192.168.1.234,10.0.0.229,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:46,192.168.1.235,10.0.0.230,UDP,BLOCK,High,UDP flood detected
2024-06-01 00:03:47,192.168.1.236,10.0.0.231,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:48,192.168.1.237,10.0.0.232,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:03:49,192.168.1.238,10.0.0.233,TCP,BLOCK,Medium,Unauthorized access attempt
2024-06-01 00:03:50,192.168.1.239,10.0.0.234,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:03:51,192.168.1.240,10.0.0.235,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:52,192.168.1.241,10.0.0.236,ICMP,BLOCK,High,ICMP tunneling attempt
2024-06-01 00:03:53,192.168.1.242,10.0.0.237,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:54,192.168.1.243,10.0.0.238,UDP,BLOCK,Medium,Malware signature detected
2024-06-01 00:03:55,192.168.1.244,10.0.0.239,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:03:56,192.168.1.245,10.0.0.240,ICMP,ALLOW,Low,Normal traffic
2024-06-01 00:03:57,192.168.1.246,10.0.0.241,TCP,BLOCK,High,Brute force attack
2024-06-01 00:03:58,192.168.1.247,10.0.0.242,UDP,ALLOW,Low,Normal traffic
2024-06-01 00:03:59,192.168.1.248,10.0.0.243,TCP,ALLOW,Low,Normal traffic
2024-06-01 00:04:00,192.168.1.249,10.0.0.244,ICMP,BLOCK,Medium,Abnormal ICMP packet
2024-06-01 00:04:01,192.168.1.250,10.0.0.245,TCP,ALLOW,Low,Normal traffic
